#Time(sec since midnight),Speed(Kts)
65675.748000,7.950000
65677.737000,8.140000
65679.745000,8.460000
65681.750000,8.380000
65683.744000,7.890000
65685.749000,8.070000
65687.756000,8.050000
65689.750000,8.440000
65691.757000,8.130000
65693.761000,8.300000
65695.752000,7.790000
65697.761000,8.180000
65699.878000,7.790000
65701.745000,8.280000
65703.749000,7.480000
65705.758000,7.520000
65707.749000,7.700000
65709.756000,8.130000
65711.761000,8.010000
65713.754000,7.810000
65715.746000,7.790000
65717.753000,7.760000
65719.745000,7.760000
65721.751000,8.070000
65723.758000,8.200000
65725.751000,8.460000
65727.757000,7.910000
65729.759000,7.580000
65731.754000,7.700000
65733.746000,8.140000
65735.753000,8.440000
65737.745000,8.220000
65739.752000,8.360000
65741.745000,8.070000
65743.751000,7.500000
65745.757000,7.660000
65747.827000,7.780000
65749.786000,7.790000
65751.824000,7.600000
65753.785000,8.200000
65755.840000,8.220000
65757.782000,7.790000
65759.821000,7.830000
